,Year_stats,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
18,1978,Marvin Barnes,PF,25,TOT,60,0,1646,7.8,18.4,0.422,0,0,0,7.8,18.4,0.422,3.6,5.1,0.703,3.8,8.5,12.2,3.8,1.8,2.3,3.8,6.7,19.1,,93,100
19,1978,Marvin Barnes,PF,25,DET,12,0,269,8.8,19.6,0.449,0,0,0,8.8,19.6,0.449,2.3,4.8,0.483,4.6,10.4,15.1,3.1,1.2,1.8,4.8,7.1,19.9,,89,99
20,1978,Marvin Barnes,PF,25,BUF,48,0,1377,7.5,18.1,0.416,0,0,0,7.5,18.1,0.416,3.8,5.1,0.745,3.6,8.1,11.6,3.9,1.9,2.4,3.6,6.6,18.9,,94,100
21,1978,Rick Barry*,SF,33,GSW,82,0,3024,11.4,25.3,0.451,0,0,0,11.4,25.3,0.451,5.7,6.1,0.924,1.1,5.6,6.7,6.7,2.4,0.7,3.4,2.8,28.4,,104,99
22,1978,Tim Bassett,PF,26,NJN,65,0,1474,4.4,11.3,0.388,0,0,0,4.4,11.3,0.388,1.5,2.8,0.515,4.2,7.7,11.9,1.8,1.8,1,2.3,5.3,10.2,,87,99
23,1978,Butch Beard,PG,30,NYK,79,0,1979,6.8,13.6,0.502,0,0,0,6.8,13.6,0.502,2.9,3.5,0.806,1.7,4.2,5.8,7.5,2.6,0.1,3.4,4.4,16.5,,106,103
24,1978,Ron Behagen,PF,27,TOT,80,0,1735,9,20.9,0.43,0,0,0,9,20.9,0.43,4.7,6.4,0.725,5.2,8.1,13.3,2.6,1.6,0.8,4.5,6.8,22.6,,94,100
25,1978,Ron Behagen,PF,27,ATL,26,0,571,9.5,20.3,0.47,0,0,0,9.5,20.3,0.47,4.2,5.7,0.729,4.3,9.8,14.1,2.8,2.4,1,4.7,7.9,23.2,,96,96
26,1978,Ron Behagen,PF,27,HOU,3,0,33,10,15.8,0.636,0,0,0,10,15.8,0.636,0,1.4,0,2.9,7.2,10,2.9,0,0,4.3,8.6,20.1,,101,109
27,1978,Ron Behagen,PF,27,IND,51,0,1131,8.7,21.3,0.408,0,0,0,8.7,21.3,0.408,5,6.9,0.727,5.7,7.3,13.1,2.6,1.3,0.7,4.4,6.3,22.4,,94,102
28,1978,Mel Bennett,PF,23,IND,31,0,285,3.6,12.6,0.284,0,0,0,3.6,12.6,0.284,4.4,7,0.622,7.6,6.9,14.5,3.4,1.7,1.1,4.7,8.4,11.5,,82,101
29,1978,Kent Benson,C,23,MIL,69,0,1288,7.5,16.2,0.465,0,0,0,7.5,16.2,0.465,3.2,4.8,0.652,3.1,7.1,10.1,3.4,2.4,1.9,4.1,6.1,18.2,,94,100
30,1978,Henry Bibby,PG,28,PHI,82,0,2518,5,11.6,0.434,0,0,0,5,11.6,0.434,3,3.9,0.781,1.1,3.3,4.4,8.2,1.6,0.1,2.7,3.6,13.1,,105,104
32,1978,Bob Bigelow,SF,24,TOT,5,0,24,7.5,24.4,0.308,0,0,0,7.5,24.4,0.308,0,0,0,5.6,11.3,16.9,0,0,0,0,5.6,15,,81,102
33,1978,Bob Bigelow,SF,24,KCK,1,0,7,6.3,6.3,1,0,0,0,6.3,6.3,1,0,0,0,12.7,19,31.7,0,0,0,0,12.7,12.7,,201,97
34,1978,Bob Bigelow,SF,24,BOS,4,0,17,8,32,0.25,0,0,0,8,32,0.25,0,0,0,2.7,8,10.7,0,0,0,0,2.7,16,,64,104
35,1978,Dave Bing*,PG,34,BOS,80,0,2256,8.5,18.9,0.449,0,0,0,8.5,18.9,0.449,4.9,5.9,0.824,1.5,2.7,4.3,6,1.6,0.4,4.3,5,21.9,,99,103
36,1978,Otis Birdsong,SG,22,KCK,73,0,1878,11.1,22.6,0.492,0,0,0,11.1,22.6,0.492,5.1,7.3,0.697,1.7,2.5,4.1,4.1,1.7,0.3,3.4,4.2,27.3,,104,105
37,1978,Tom Boerwinkle,C,32,CHI,22,0,227,4.8,10.4,0.46,0,0,0,4.8,10.4,0.46,2.1,2.7,0.769,2.9,9.4,12.3,9.2,0.6,0.8,5.4,7.5,11.7,,92,103
38,1978,Phil Bond,SG,23,HOU,7,0,21,4.5,13.5,0.333,0,0,0,4.5,13.5,0.333,0,0,0,2.3,6.8,9,4.5,2.3,0,4.5,2.3,9,,69,105
39,1978,Ron Boone,SG,31,KCK,82,0,2653,9.4,21.3,0.443,0,0,0,9.4,21.3,0.443,5.4,6.3,0.854,1.9,2.6,4.5,5.2,1.8,0.2,5.1,3.9,24.2,,96,105
40,1978,Jim Bostic,PF,25,DET,4,0,48,11.1,20.4,0.545,0,0,0,11.1,20.4,0.545,1.9,4.6,0.4,7.4,7.4,14.9,2.8,0,0,2.8,4.6,24.1,,111,105
41,1978,Tom Boswell,PF,24,BOS,65,0,1149,7.3,14.1,0.518,0,0,0,7.3,14.1,0.518,3.7,4.9,0.756,4.6,6.7,11.4,2.8,1,0.6,3.7,8,18.3,,105,102
42,1978,Freddie Boyd,SG,27,NOJ,21,0,363,5.4,13.4,0.4,0,0,0,5.4,13.4,0.4,1.7,2.7,0.636,0.2,2.1,2.3,5.9,1.1,0.4,2.4,2.8,12.5,,90,105
43,1978,Alonzo Bradley,SF,24,HOU,43,0,798,7.7,18,0.428,0,0,0,7.7,18,0.428,2.6,3.5,0.729,1.4,4.5,5.9,3.2,0.9,0.4,3.3,4.9,18,,92,109
44,1978,Mike Bratz,PG,22,PHO,80,0,933,7.3,18.2,0.403,0,0,0,7.3,18.2,0.403,2.6,3.1,0.824,1.9,3.4,5.3,5.7,1.8,0.2,4.1,4.8,17.3,,88,100
45,1978,Jim Brewer,PF,26,CLE,80,0,1798,4.5,10.1,0.449,0,0,0,4.5,10.1,0.449,1.2,2.6,0.46,4.7,8.1,12.8,2.5,1.5,1.2,2.7,4.6,10.2,,94,98
46,1978,Junior Bridgeman,SF,24,MIL,82,0,1876,11.2,22.3,0.503,0,0,0,11.2,22.3,0.503,3.9,4.8,0.81,2.7,4.1,6.8,4.1,1.7,0.7,4.1,4.8,26.3,,103,104
47,1978,Allan Bristow,SF,26,SAS,82,0,1481,7.6,16,0.478,0,0,0,7.6,16,0.478,4.5,6.2,0.731,2.9,4.7,7.6,5.8,2.1,0.1,4.3,4.5,19.8,,101,103
48,1978,Wayman Britt,SG,25,DET,7,0,16,8.4,27.9,0.3,0,0,0,8.4,27.9,0.3,8.4,11.1,0.75,2.8,8.4,11.1,5.6,2.8,0,2.8,8.4,25.1,,91,99
